Unnamed: 0,SAMPID,근무 시작 시점 (년),근무 시작 시점 (월),직업 코드 (세분류),직업 코드 (대분류),아버지 직업 (고용직업분류),아버지 직업 (표준직업분류),아버지 종사상지위,아버지 최종학력 변동 여부,아버지 최종학교,어머니 최종학교,어머니 직업 (고용직업분류),어머니 직업 (표준직업분류),주택 종류,"주택 면적 (비단독주택, 평)"
3,100004,2021.0,11.0,3065.0,3.0,3.0,2.0,1.0,1.0,,,3.0,4.0,4.0,12.0
5,100006,2022.0,7.0,5317.0,5.0,0.0,3.0,1.0,1.0,,,3.0,4.0,2.0,35.0
9,100010,2020.0,6.0,295.0,0.0,6.0,1.0,2.0,1.0,,,6.0,1.0,6.0,32.0
10,100011,2017.0,3.0,3040.0,3.0,8.0,2.0,2.0,1.0,,,5.0,2.0,6.0,11.0
11,100012,2020.0,6.0,263.0,0.0,7.0,1.0,2.0,1.0,,,2.0,2.0,6.0,32.0
12,100013,2020.0,3.0,263.0,0.0,0.0,2.0,1.0,1.0,,,10.0,11.0,6.0,24.0
13,100014,2022.0,4.0,3030.0,3.0,5.0,1.0,2.0,1.0,,,0.0,3.0,5.0,32.0
15,100016,2018.0,5.0,1402.0,1.0,5.0,7.0,2.0,1.0,,,5.0,4.0,6.0,18.0
16,100017,2020.0,2.0,3030.0,3.0,6.0,5.0,2.0,1.0,,,2.0,1.0,3.0,9090909.0
17,100018,2017.0,4.0,263.0,0.0,8.0,7.0,3.0,1.0,,,6.0,4.0,2.0,28.0
19,100020,2021.0,7.0,263.0,0.0,9.0,2.0,3.0,1.0,,,9.0,2.0,6.0,22.0
20,100021,2018.0,2.0,2130.0,2.0,6.0,2.0,1.0,1.0,,,0.0,2.0,6.0,14.0
21,100022,2016.0,3.0,3065.0,3.0,8.0,2.0,1.0,1.0,,,6.0,2.0,6.0,11.0
22,100023,2020.0,4.0,4166.0,4.0,5.0,2.0,1.0,1.0,,,5.0,2.0,6.0,8.0
23,100024,2021.0,2.0,1553.0,1.0,0.0,1.0,2.0,1.0,,,2.0,2.0,6.0,12.0
24,100025,2021.0,12.0,5317.0,5.0,6.0,2.0,1.0,1.0,,,6.0,2.0,6.0,30.0
25,100026,2019.0,5.0,263.0,0.0,8.0,1.0,2.0,1.0,,,10.0,11.0,6.0,8.0
26,100027,2021.0,3.0,3062.0,3.0,8.0,2.0,1.0,1.0,,,3.0,2.0,6.0,10.0
27,100028,2019.0,3.0,263.0,0.0,11.0,12.0,,,,,5.0,1.0,6.0,22.0
28,100029,2018.0,2.0,3040.0,3.0,3.0,2.0,1.0,1.0,,,3.0,2.0,6.0,8.0
29,100030,2018.0,10.0,263.0,0.0,7.0,2.0,1.0,1.0,,,10.0,11.0,3.0,15.0
30,100031,2022.0,4.0,5317.0,5.0,0.0,2.0,1.0,1.0,,,10.0,11.0,6.0,9.0
31,100032,2018.0,2.0,2121.0,2.0,2.0,2.0,1.0,1.0,,,10.0,11.0,6.0,8.0
33,100034,2017.0,3.0,3040.0,3.0,3.0,2.0,1.0,1.0,,,3.0,2.0,2.0,40.0
38,100039,2020.0,1.0,272.0,0.0,0.0,3.0,1.0,1.0,,,5.0,4.0,6.0,9090909.0
47,100048,2018.0,3.0,4152.0,4.0,8.0,4.0,2.0,1.0,,,10.0,11.0,1.0,
51,100052,2018.0,7.0,271.0,0.0,5.0,3.0,1.0,1.0,,,5.0,4.0,4.0,24.0
53,100054,2017.0,3.0,263.0,0.0,2.0,2.0,1.0,1.0,,,5.0,2.0,4.0,20.0
54,100055,2015.0,4.0,241.0,0.0,5.0,2.0,1.0,1.0,,,0.0,2.0,4.0,14.0
55,100056,2018.0,3.0,3040.0,3.0,0.0,3.0,1.0,1.0,,,3.0,4.0,4.0,15.0
56,100057,2017.0,3.0,2130.0,2.0,8.0,2.0,3.0,1.0,,,3.0,3.0,4.0,9090909.0
59,100060,2017.0,4.0,254.0,0.0,0.0,1.0,1.0,1.0,,,0.0,3.0,2.0,24.0
62,100063,2017.0,3.0,3040.0,3.0,8.0,7.0,1.0,1.0,,,3.0,1.0,2.0,24.0
69,100070,2021.0,7.0,4166.0,4.0,0.0,2.0,1.0,1.0,,,11.0,12.0,2.0,32.0
70,100071,2021.0,2.0,263.0,0.0,8.0,2.0,1.0,1.0,,,2.0,2.0,2.0,32.0
72,100073,2022.0,8.0,263.0,0.0,0.0,2.0,1.0,1.0,,,0.0,2.0,2.0,9090909.0
73,100074,2020.0,4.0,263.0,0.0,6.0,9.0,1.0,1.0,,,6.0,9.0,3.0,9090909.0
74,100075,2022.0,3.0,2141.0,2.0,10.0,11.0,,1.0,,,10.0,11.0,2.0,9090909.0
77,100078,2015.0,8.0,2130.0,2.0,11.0,12.0,,,,,10.0,11.0,6.0,9090909.0
78,100079,2021.0,5.0,323.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,6.0,9090909.0
79,100080,2022.0,1.0,1332.0,1.0,10.0,11.0,,1.0,,,10.0,11.0,6.0,9090909.0
83,100084,2021.0,9.0,6151.0,6.0,5.0,4.0,3.0,1.0,,,5.0,4.0,3.0,18.0
84,100085,2018.0,1.0,5322.0,5.0,6.0,5.0,3.0,1.0,,,6.0,5.0,3.0,24.0
88,100089,2022.0,5.0,4155.0,4.0,8.0,7.0,3.0,1.0,,,10.0,11.0,4.0,25.0
90,100091,2021.0,10.0,6151.0,6.0,0.0,1.0,1.0,1.0,,,10.0,11.0,4.0,24.0
92,100093,2021.0,11.0,241.0,0.0,6.0,1.0,3.0,1.0,,,10.0,11.0,3.0,24.0
93,100094,2022.0,3.0,5112.0,5.0,6.0,1.0,1.0,1.0,,,6.0,1.0,2.0,36.0
103,100104,2021.0,6.0,2401.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,1.0,
110,100111,2022.0,6.0,295.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,1.0,
115,100116,2021.0,10.0,5322.0,5.0,6.0,4.0,4.0,1.0,,,6.0,4.0,4.0,9090909.0
117,100118,2016.0,12.0,3040.0,3.0,11.0,12.0,,,,,0.0,1.0,3.0,9090909.0
118,100119,2017.0,10.0,1332.0,1.0,4.0,4.0,3.0,2.0,6.0,6.0,8.0,3.0,6.0,9090909.0
119,100120,2020.0,4.0,3040.0,3.0,7.0,1.0,1.0,1.0,,,2.0,4.0,4.0,20.0
125,100126,2022.0,5.0,1350.0,1.0,3.0,2.0,2.0,1.0,,6.0,10.0,11.0,2.0,34.0
126,100127,2019.0,4.0,1222.0,1.0,3.0,1.0,2.0,1.0,,6.0,10.0,11.0,2.0,30.0
127,100128,2021.0,4.0,281.0,0.0,10.0,11.0,,1.0,,,10.0,11.0,2.0,55.0
129,100130,2018.0,12.0,231.0,0.0,10.0,11.0,,1.0,,,6.0,1.0,6.0,9090909.0
130,100131,2018.0,3.0,2321.0,2.0,1.0,3.0,1.0,1.0,,,1.0,3.0,2.0,27.0
140,100141,2021.0,3.0,6241.0,6.0,6.0,4.0,3.0,1.0,,,6.0,4.0,6.0,9090909.0
141,100142,2022.0,8.0,5240.0,5.0,10.0,11.0,,1.0,,,10.0,11.0,2.0,25.0
143,100144,2022.0,5.0,2141.0,2.0,0.0,3.0,1.0,1.0,,,0.0,3.0,3.0,9090909.0
144,100145,2019.0,10.0,261.0,0.0,0.0,2.0,1.0,1.0,,,10.0,11.0,3.0,15.0
145,100146,2022.0,3.0,1332.0,1.0,5.0,5.0,3.0,1.0,,,5.0,5.0,3.0,9090909.0
146,100147,2022.0,1.0,6151.0,6.0,0.0,1.0,1.0,1.0,,,10.0,11.0,1.0,
147,100148,2022.0,3.0,283.0,0.0,10.0,11.0,,1.0,,6.0,10.0,11.0,2.0,9090909.0
148,100149,2022.0,2.0,8900.0,8.0,0.0,5.0,2.0,1.0,,,0.0,5.0,2.0,45.0
149,100150,2021.0,9.0,232.0,0.0,6.0,5.0,2.0,1.0,,,10.0,11.0,2.0,33.0
150,100151,2021.0,3.0,1402.0,1.0,11.0,12.0,,,,,6.0,5.0,2.0,33.0
151,100152,2019.0,9.0,272.0,0.0,6.0,5.0,2.0,1.0,,,5.0,4.0,2.0,33.0
152,100153,2016.0,9.0,272.0,0.0,8.0,9.0,1.0,1.0,,,5.0,4.0,2.0,14.0
154,100155,2022.0,3.0,271.0,0.0,10.0,11.0,,2.0,9090908.0,,5.0,4.0,2.0,14.0
155,100156,2015.0,5.0,5113.0,5.0,11.0,12.0,,,,,3.0,2.0,2.0,14.0
156,100157,2015.0,10.0,6151.0,6.0,11.0,12.0,,,,,5.0,4.0,2.0,14.0
158,100159,2018.0,5.0,6151.0,6.0,10.0,11.0,,1.0,,,5.0,4.0,2.0,14.0
161,100162,2021.0,11.0,6151.0,6.0,6.0,4.0,3.0,1.0,,,3.0,2.0,6.0,9090909.0
162,100163,2021.0,10.0,1511.0,1.0,1.0,2.0,2.0,1.0,,5.0,1.0,2.0,4.0,1.0
163,100164,2022.0,3.0,295.0,0.0,1.0,2.0,1.0,1.0,,,10.0,11.0,6.0,48.0
164,100165,2021.0,9.0,299.0,0.0,0.0,3.0,1.0,1.0,,,5.0,4.0,6.0,9090909.0
168,100169,2020.0,5.0,295.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,4.0,9090909.0
171,100172,2021.0,8.0,2145.0,2.0,11.0,12.0,,,,,3.0,4.0,1.0,
174,100175,2021.0,3.0,1513.0,1.0,0.0,2.0,1.0,1.0,,,1.0,1.0,4.0,9090909.0
177,100178,2022.0,2.0,261.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,6.0,32.0
178,100179,2022.0,8.0,5322.0,5.0,0.0,3.0,1.0,1.0,,,0.0,3.0,6.0,9090909.0
181,100182,2022.0,11.0,4155.0,4.0,11.0,12.0,,,,,5.0,5.0,2.0,9090909.0
182,100183,2020.0,3.0,2141.0,2.0,8.0,1.0,1.0,1.0,,6.0,10.0,11.0,4.0,9090909.0
186,100187,2020.0,12.0,261.0,0.0,2.0,3.0,1.0,2.0,6.0,,10.0,11.0,4.0,6.0
187,100188,2022.0,3.0,3012.0,3.0,1.0,2.0,1.0,1.0,,,0.0,1.0,1.0,
191,100192,2022.0,3.0,4162.0,4.0,8.0,8.0,2.0,1.0,,,6.0,5.0,4.0,34.0
197,100198,2019.0,5.0,5113.0,5.0,8.0,7.0,3.0,1.0,,,10.0,11.0,2.0,25.0
200,100201,2017.0,3.0,6223.0,6.0,11.0,12.0,,,,,6.0,5.0,2.0,25.0
201,100202,2013.0,10.0,6110.0,6.0,11.0,12.0,,,,,6.0,5.0,2.0,32.0
204,100205,2013.0,3.0,6151.0,6.0,6.0,5.0,2.0,1.0,,,10.0,11.0,2.0,32.0
208,100209,2022.0,3.0,1401.0,1.0,11.0,12.0,,,,,3.0,4.0,2.0,9090909.0
218,100219,2021.0,8.0,2141.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,9090909.0
221,100222,2022.0,10.0,263.0,0.0,6.0,5.0,4.0,1.0,,,5.0,4.0,4.0,9090909.0
223,100224,2022.0,10.0,263.0,0.0,9.0,6.0,4.0,2.0,6.0,7.0,9.0,6.0,4.0,6.0
224,100225,2018.0,10.0,292.0,0.0,10.0,11.0,,1.0,,,10.0,11.0,4.0,9090909.0
226,100227,2020.0,2.0,1401.0,1.0,11.0,12.0,,,,,6.0,4.0,2.0,30.0
229,100230,2020.0,5.0,5317.0,5.0,5.0,4.0,3.0,1.0,,,5.0,4.0,2.0,9090909.0
230,100231,2022.0,1.0,6151.0,6.0,8.0,2.0,1.0,1.0,,,8.0,9.0,3.0,9090909.0
235,100236,2022.0,5.0,5115.0,5.0,6.0,2.0,3.0,1.0,,,5.0,4.0,2.0,25.0
236,100237,2020.0,5.0,5113.0,5.0,8.0,7.0,3.0,1.0,,,10.0,11.0,2.0,25.0
237,100238,2022.0,9.0,1312.0,1.0,6.0,5.0,2.0,1.0,,,10.0,11.0,2.0,25.0
238,100239,2017.0,3.0,261.0,0.0,11.0,12.0,,,,,6.0,5.0,2.0,25.0
239,100240,2014.0,6.0,6152.0,6.0,6.0,5.0,3.0,1.0,,,10.0,11.0,2.0,25.0
240,100241,2015.0,5.0,283.0,0.0,11.0,12.0,,,,,6.0,5.0,2.0,25.0
241,100242,2020.0,1.0,2141.0,2.0,0.0,3.0,1.0,1.0,,,11.0,12.0,2.0,30.0
243,100244,2022.0,5.0,6151.0,6.0,0.0,2.0,1.0,1.0,,,3.0,2.0,2.0,25.0
244,100245,2020.0,4.0,5113.0,5.0,8.0,7.0,1.0,1.0,,,10.0,11.0,6.0,7.0
245,100246,2016.0,5.0,272.0,0.0,6.0,9.0,1.0,1.0,,,10.0,11.0,6.0,25.0
246,100247,2017.0,5.0,295.0,0.0,7.0,7.0,1.0,1.0,,,3.0,4.0,3.0,25.0
250,100251,2018.0,3.0,271.0,0.0,8.0,7.0,3.0,1.0,,,10.0,11.0,4.0,27.0
251,100252,2022.0,3.0,272.0,0.0,5.0,4.0,1.0,1.0,,,9.0,5.0,1.0,
253,100254,2017.0,4.0,5322.0,5.0,3.0,4.0,1.0,1.0,,4.0,5.0,4.0,3.0,26.0
254,100255,2020.0,3.0,4204.0,4.0,6.0,5.0,3.0,1.0,,,10.0,11.0,1.0,
255,100256,2015.0,4.0,263.0,0.0,2.0,3.0,1.0,1.0,,,10.0,11.0,1.0,
256,100257,2018.0,9.0,5115.0,5.0,3.0,2.0,1.0,1.0,,,10.0,11.0,2.0,30.0
258,100259,2018.0,5.0,5324.0,5.0,0.0,3.0,1.0,1.0,,,10.0,11.0,4.0,20.0
259,100260,2018.0,3.0,324.0,0.0,2.0,2.0,1.0,1.0,,,2.0,2.0,6.0,30.0
260,100261,2019.0,5.0,295.0,0.0,2.0,2.0,1.0,1.0,,,10.0,11.0,4.0,25.0
264,100265,2014.0,12.0,271.0,0.0,4.0,4.0,1.0,1.0,,,10.0,11.0,4.0,15.0
265,100266,2015.0,5.0,6152.0,6.0,0.0,3.0,1.0,1.0,,,0.0,3.0,4.0,15.0
266,100267,2020.0,8.0,6151.0,6.0,2.0,2.0,1.0,1.0,,,2.0,3.0,3.0,25.0
267,100268,2018.0,5.0,263.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,30.0
268,100269,2017.0,8.0,272.0,0.0,5.0,4.0,1.0,1.0,,,5.0,4.0,3.0,30.0
269,100270,2019.0,1.0,263.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,25.0
271,100272,2018.0,6.0,5324.0,5.0,10.0,11.0,,1.0,,,10.0,11.0,4.0,15.0
272,100273,2017.0,4.0,272.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,30.0
275,100276,2018.0,8.0,263.0,0.0,4.0,1.0,2.0,1.0,,,5.0,4.0,3.0,40.0
276,100277,2019.0,5.0,5314.0,5.0,6.0,4.0,1.0,1.0,,,10.0,11.0,4.0,15.0
278,100279,2020.0,2.0,263.0,0.0,6.0,4.0,1.0,1.0,,,10.0,11.0,6.0,25.0
279,100280,2020.0,2.0,5230.0,5.0,8.0,4.0,1.0,1.0,,,6.0,4.0,1.0,
280,100281,2020.0,6.0,4169.0,4.0,8.0,2.0,1.0,1.0,,,6.0,4.0,1.0,
281,100282,2018.0,12.0,8832.0,8.0,3.0,2.0,1.0,1.0,,,10.0,11.0,3.0,25.0
282,100283,2017.0,8.0,263.0,0.0,5.0,4.0,3.0,1.0,,,5.0,4.0,3.0,30.0
284,100285,2022.0,3.0,6151.0,6.0,4.0,4.0,1.0,1.0,,,10.0,11.0,3.0,25.0
289,100290,2018.0,1.0,8124.0,8.0,7.0,7.0,1.0,1.0,,,10.0,11.0,3.0,25.0
291,100292,2018.0,6.0,263.0,0.0,7.0,2.0,1.0,1.0,,,10.0,11.0,3.0,25.0
292,100293,2015.0,4.0,5112.0,5.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,27.0
293,100294,2015.0,4.0,271.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,25.0
295,100296,2015.0,4.0,6151.0,6.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,27.0
296,100297,2019.0,4.0,5115.0,5.0,0.0,3.0,1.0,1.0,,,6.0,5.0,3.0,30.0
302,100303,2019.0,9.0,6151.0,6.0,0.0,3.0,1.0,1.0,,,5.0,4.0,3.0,26.0
303,100304,2019.0,9.0,263.0,0.0,1.0,3.0,1.0,1.0,,,3.0,4.0,3.0,30.0
304,100305,2020.0,3.0,271.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,30.0
305,100306,2018.0,6.0,271.0,0.0,5.0,4.0,1.0,1.0,,,5.0,4.0,3.0,30.0
317,100318,2014.0,3.0,263.0,0.0,9.0,7.0,2.0,1.0,,,10.0,11.0,3.0,28.0
318,100319,2022.0,3.0,2321.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,25.0
324,100325,2021.0,10.0,295.0,0.0,6.0,5.0,2.0,1.0,,,6.0,5.0,2.0,30.0
326,100327,2019.0,10.0,8161.0,8.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,24.0
327,100328,2022.0,7.0,261.0,0.0,0.0,3.0,1.0,1.0,,,6.0,4.0,3.0,9090909.0
328,100329,2021.0,12.0,5240.0,5.0,6.0,2.0,1.0,1.0,,,6.0,5.0,3.0,9090909.0
329,100330,2022.0,3.0,5240.0,5.0,6.0,2.0,2.0,1.0,,,10.0,11.0,3.0,18.0
332,100333,2022.0,7.0,291.0,0.0,8.0,7.0,2.0,1.0,,,6.0,5.0,2.0,30.0
336,100337,2022.0,10.0,4162.0,4.0,0.0,1.0,1.0,1.0,,,6.0,5.0,2.0,30.0
337,100338,2021.0,3.0,2122.0,2.0,2.0,3.0,1.0,1.0,,,3.0,3.0,2.0,30.0
339,100340,2022.0,4.0,5323.0,5.0,8.0,8.0,2.0,1.0,,,5.0,4.0,2.0,30.0
340,100341,2022.0,4.0,2144.0,2.0,6.0,5.0,2.0,1.0,,,6.0,5.0,2.0,30.0
341,100342,2022.0,3.0,3063.0,3.0,6.0,7.0,2.0,1.0,,,6.0,5.0,2.0,28.0
343,100344,2022.0,4.0,8162.0,8.0,8.0,8.0,2.0,1.0,,,5.0,7.0,2.0,25.0
347,100348,2018.0,2.0,254.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,55.0
348,100349,2019.0,5.0,3030.0,3.0,2.0,2.0,1.0,1.0,,,2.0,3.0,2.0,53.0
349,100350,2020.0,2.0,293.0,0.0,3.0,1.0,2.0,1.0,,,10.0,11.0,2.0,56.0
351,100352,2022.0,3.0,262.0,0.0,6.0,4.0,3.0,1.0,,,6.0,4.0,2.0,32.0
355,100356,2015.0,5.0,2321.0,2.0,3.0,2.0,3.0,1.0,,,3.0,2.0,2.0,32.0
356,100357,2020.0,4.0,263.0,0.0,5.0,4.0,3.0,1.0,,,5.0,4.0,1.0,
357,100358,2018.0,5.0,3030.0,3.0,5.0,4.0,3.0,1.0,,,6.0,4.0,1.0,
358,100359,2021.0,4.0,1212.0,1.0,2.0,3.0,1.0,1.0,,,6.0,4.0,1.0,
360,100361,2018.0,5.0,2321.0,2.0,6.0,4.0,3.0,1.0,,,6.0,4.0,1.0,
361,100362,2019.0,3.0,4112.0,4.0,2.0,3.0,1.0,1.0,,,2.0,3.0,2.0,32.0
365,100366,2020.0,5.0,281.0,0.0,2.0,3.0,1.0,1.0,,,2.0,3.0,2.0,31.0
367,100368,2022.0,8.0,263.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,32.0
368,100369,2017.0,3.0,263.0,0.0,2.0,3.0,1.0,1.0,,,10.0,11.0,2.0,31.0
370,100371,2019.0,6.0,4113.0,4.0,6.0,5.0,2.0,1.0,,,6.0,5.0,2.0,31.0
371,100372,2021.0,10.0,261.0,0.0,5.0,4.0,2.0,1.0,,,0.0,3.0,2.0,31.0
372,100373,2019.0,10.0,1401.0,1.0,8.0,7.0,2.0,1.0,,,10.0,11.0,2.0,33.0
373,100374,2021.0,5.0,263.0,0.0,0.0,1.0,1.0,1.0,,,10.0,11.0,2.0,33.0
376,100377,2018.0,4.0,5112.0,5.0,6.0,4.0,3.0,1.0,,,6.0,4.0,2.0,32.0
377,100378,2018.0,10.0,1332.0,1.0,5.0,4.0,3.0,1.0,,,5.0,4.0,2.0,34.0
379,100380,2015.0,10.0,271.0,0.0,5.0,4.0,2.0,1.0,,,5.0,4.0,2.0,32.0
382,100383,2020.0,3.0,284.0,0.0,0.0,3.0,1.0,1.0,,,5.0,4.0,2.0,32.0
383,100384,2020.0,5.0,4113.0,4.0,3.0,2.0,2.0,1.0,,,2.0,3.0,2.0,32.0
384,100385,2019.0,4.0,1511.0,1.0,0.0,3.0,1.0,1.0,,,0.0,3.0,2.0,32.0
389,100390,2019.0,4.0,1211.0,1.0,2.0,1.0,1.0,1.0,,,0.0,3.0,2.0,63.0
390,100391,2017.0,3.0,2321.0,2.0,6.0,5.0,2.0,1.0,,,6.0,5.0,2.0,63.0
391,100392,2018.0,7.0,2141.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,63.0
394,100395,2016.0,5.0,6151.0,6.0,6.0,4.0,3.0,1.0,,,5.0,4.0,1.0,
395,100396,2018.0,3.0,2130.0,2.0,5.0,4.0,3.0,1.0,,,5.0,4.0,1.0,
396,100397,2017.0,4.0,3040.0,3.0,6.0,4.0,3.0,1.0,,,5.0,4.0,3.0,22.0
397,100398,2016.0,4.0,292.0,0.0,6.0,4.0,2.0,1.0,,,5.0,4.0,1.0,
398,100399,2014.0,5.0,5324.0,5.0,6.0,4.0,1.0,1.0,,,5.0,4.0,1.0,
399,100400,2015.0,2.0,271.0,0.0,5.0,4.0,3.0,1.0,,,6.0,4.0,1.0,
404,100405,2021.0,3.0,292.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,1.0,
405,100406,2019.0,5.0,324.0,0.0,0.0,3.0,1.0,1.0,,,0.0,3.0,1.0,
406,100407,2019.0,3.0,5113.0,5.0,11.0,12.0,,,,,6.0,5.0,1.0,
407,100408,2018.0,6.0,263.0,0.0,6.0,4.0,3.0,1.0,,,10.0,11.0,1.0,
423,100424,2018.0,5.0,271.0,0.0,0.0,1.0,1.0,1.0,,,10.0,11.0,3.0,9090909.0
442,100443,2019.0,6.0,6140.0,6.0,6.0,5.0,3.0,1.0,,,10.0,11.0,2.0,42.0
444,100445,2021.0,1.0,1403.0,1.0,6.0,3.0,3.0,1.0,,,6.0,3.0,2.0,43.0
451,100452,2021.0,12.0,263.0,0.0,2.0,1.0,1.0,1.0,,,10.0,11.0,3.0,9090909.0
468,100469,2021.0,7.0,6241.0,6.0,7.0,4.0,1.0,1.0,,,6.0,4.0,1.0,
470,100471,2021.0,3.0,325.0,0.0,0.0,3.0,1.0,1.0,,,2.0,3.0,3.0,18.0
471,100472,2021.0,10.0,2141.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,33.0
473,100474,2022.0,10.0,2141.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,34.0
479,100480,2022.0,10.0,2141.0,2.0,10.0,11.0,,1.0,,,10.0,11.0,4.0,5.0
480,100481,2022.0,1.0,2141.0,2.0,5.0,4.0,2.0,1.0,,,10.0,11.0,4.0,5.0
481,100482,2022.0,6.0,6151.0,6.0,7.0,9.0,1.0,1.0,,,5.0,4.0,4.0,15.0
483,100484,2022.0,9.0,6151.0,6.0,6.0,4.0,2.0,2.0,6.0,6.0,6.0,4.0,3.0,9090909.0
484,100485,2022.0,11.0,3040.0,3.0,0.0,3.0,1.0,1.0,,,0.0,1.0,3.0,27.0
490,100491,2018.0,6.0,272.0,0.0,6.0,5.0,2.0,2.0,6.0,,10.0,11.0,4.0,6.0
493,100494,2022.0,6.0,2141.0,2.0,6.0,1.0,2.0,1.0,,,10.0,11.0,2.0,40.0
495,100496,2022.0,8.0,241.0,0.0,0.0,3.0,1.0,1.0,,6.0,0.0,3.0,2.0,34.0
498,100499,2021.0,1.0,5321.0,5.0,8.0,2.0,3.0,1.0,,,6.0,3.0,2.0,45.0
503,100504,2022.0,3.0,4166.0,4.0,6.0,1.0,2.0,1.0,,,8.0,1.0,1.0,
505,100506,2022.0,6.0,5317.0,5.0,6.0,9.0,1.0,1.0,,,6.0,3.0,2.0,23.0
507,100508,2022.0,6.0,263.0,0.0,0.0,3.0,1.0,1.0,,,5.0,4.0,4.0,4.0
510,100511,2021.0,12.0,6151.0,6.0,6.0,5.0,3.0,1.0,,,10.0,11.0,1.0,
515,100516,2021.0,10.0,5322.0,5.0,0.0,3.0,1.0,1.0,,,10.0,11.0,3.0,4.0
517,100518,2021.0,5.0,5324.0,5.0,6.0,4.0,1.0,1.0,,,10.0,11.0,1.0,
524,100525,2021.0,12.0,6151.0,6.0,0.0,3.0,1.0,1.0,,,6.0,4.0,1.0,
528,100529,2022.0,5.0,5322.0,5.0,8.0,7.0,1.0,1.0,,,6.0,4.0,2.0,33.0
531,100532,2020.0,4.0,7016.0,7.0,7.0,7.0,2.0,1.0,,,10.0,11.0,2.0,33.0
535,100536,2022.0,4.0,292.0,0.0,8.0,2.0,1.0,1.0,,,0.0,3.0,2.0,25.0
536,100537,2022.0,6.0,1332.0,1.0,5.0,4.0,4.0,2.0,6.0,6.0,5.0,4.0,2.0,25.0
539,100540,2020.0,9.0,5317.0,5.0,7.0,1.0,2.0,1.0,,,10.0,11.0,2.0,33.0
540,100541,2022.0,1.0,8119.0,0.0,6.0,3.0,2.0,1.0,,,10.0,11.0,2.0,33.0
541,100542,2022.0,5.0,5317.0,5.0,6.0,9.0,1.0,1.0,,,6.0,4.0,2.0,9090909.0
542,100543,2022.0,3.0,5317.0,5.0,6.0,9.0,1.0,1.0,,,6.0,5.0,2.0,9090909.0
544,100545,2022.0,6.0,295.0,0.0,6.0,9.0,1.0,2.0,6.0,,10.0,11.0,6.0,9090909.0
546,100547,2022.0,6.0,283.0,0.0,10.0,11.0,,1.0,,,10.0,11.0,6.0,7.0
557,100558,2022.0,6.0,5317.0,5.0,11.0,12.0,,,,,5.0,4.0,2.0,34.0
559,100560,2018.0,3.0,5323.0,5.0,10.0,11.0,,1.0,,,5.0,4.0,3.0,13.0
560,100561,2022.0,7.0,295.0,0.0,10.0,11.0,,1.0,,,5.0,4.0,3.0,13.0
562,100563,2018.0,3.0,2130.0,2.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,32.0
574,100575,2022.0,10.0,295.0,0.0,0.0,3.0,1.0,1.0,,,6.0,4.0,1.0,
577,100578,2021.0,12.0,4151.0,4.0,0.0,3.0,1.0,1.0,,,0.0,3.0,3.0,22.0
578,100579,2022.0,9.0,4155.0,4.0,6.0,4.0,1.0,1.0,,,10.0,11.0,4.0,9090909.0
579,100580,2021.0,10.0,5322.0,5.0,7.0,7.0,1.0,1.0,,,3.0,4.0,4.0,15.0
580,100581,2022.0,5.0,6151.0,6.0,7.0,7.0,1.0,1.0,,,10.0,11.0,4.0,9090909.0
581,100582,2019.0,2.0,7060.0,7.0,8.0,7.0,3.0,1.0,,,10.0,11.0,1.0,
583,100584,2020.0,3.0,272.0,0.0,5.0,4.0,1.0,1.0,,,5.0,4.0,4.0,6.0
584,100585,2021.0,5.0,7016.0,7.0,9.0,6.0,3.0,1.0,,,9.0,6.0,3.0,7.0
585,100586,2021.0,11.0,6151.0,6.0,8.0,7.0,1.0,1.0,,,6.0,4.0,1.0,
589,100590,2021.0,1.0,5322.0,5.0,4.0,4.0,3.0,1.0,,,10.0,11.0,1.0,
593,100594,2019.0,3.0,263.0,0.0,5.0,4.0,3.0,1.0,,,5.0,4.0,2.0,31.0
